NOMBRE_DPT,value,year
ARAUCA,218,2021
CASANARE,1020,2002
CASANARE,364,2003
CASANARE,1086,2004
CASANARE,1012,2005
CASANARE,1124,2006
CASANARE,621,2007
CASANARE,649,2008
CASANARE,994,2009
CASANARE,767,2010
CASANARE,1857,2011
CASANARE,1094,2012
CASANARE,487,2013
CASANARE,571,2014
CASANARE,271,2015
CASANARE,1027,2016
CASANARE,2316,2017
CASANARE,1254,2018
CASANARE,1189,2019
CASANARE,884,2020
CASANARE,598,2021
PUTUMAYO,10566,2002
PUTUMAYO,9808,2003
PUTUMAYO,16552,2004
PUTUMAYO,12645,2005
PUTUMAYO,15395,2006
PUTUMAYO,18202,2007
PUTUMAYO,10421,2008
PUTUMAYO,15866,2009
PUTUMAYO,11393,2010
PUTUMAYO,7215,2011
PUTUMAYO,12214,2012
PUTUMAYO,4802,2013
PUTUMAYO,7664,2014
PUTUMAYO,5194,2015
PUTUMAYO,7554,2016
PUTUMAYO,16388,2017
PUTUMAYO,9228,2018
PUTUMAYO,6942,2019
PUTUMAYO,6818,2020
PUTUMAYO,7593,2021
AMAZONAS,1364,2002
AMAZONAS,1077,2003
AMAZONAS,1930,2004
AMAZONAS,1393,2005
AMAZONAS,1141,2006
AMAZONAS,1006,2007
AMAZONAS,1572,2008
AMAZONAS,2514,2009
AMAZONAS,929,2010
AMAZONAS,2088,2011
AMAZONAS,1469,2012
AMAZONAS,1377,2013
AMAZONAS,1065,2014
AMAZONAS,2047,2015
AMAZONAS,5896,2016
AMAZONAS,6036,2017
AMAZONAS,2512,2018
AMAZONAS,2187,2019
AMAZONAS,1946,2020
AMAZONAS,2171,2021
GUAINIA,4424,2002
GUAINIA,1678,2003
GUAINIA,4440,2004
GUAINIA,3685,2005
GUAINIA,4192,2006
GUAINIA,5703,2007
GUAINIA,3893,2008
GUAINIA,8905,2009
GUAINIA,3956,2010
GUAINIA,3640,2011
GUAINIA,5951,2012
GUAINIA,1760,2013
GUAINIA,2912,2014
GUAINIA,1413,2015
GUAINIA,2804,2016
GUAINIA,7882,2017
GUAINIA,3088,2018
GUAINIA,2832,2019
GUAINIA,1763,2020
GUAINIA,2323,2021
GUAVIARE,2527,2002
GUAVIARE,1036,2003
GUAVIARE,3704,2004
GUAVIARE,3043,2005
GUAVIARE,4323,2006
GUAVIARE,1574,2007
GUAVIARE,2993,2008
GUAVIARE,3908,2009
GUAVIARE,3810,2010
GUAVIARE,4077,2011
GUAVIARE,4264,2012
GUAVIARE,1681,2013
GUAVIARE,2239,2014
GUAVIARE,926,2015
GUAVIARE,2032,2016
GUAVIARE,2998,2017
GUAVIARE,1336,2018
GUAVIARE,1630,2019
GUAVIARE,1553,2020
GUAVIARE,1147,2021
VAUPES,2368,2002
VAUPES,1641,2003
VAUPES,3509,2004
VAUPES,1453,2005
VAUPES,1263,2006
VAUPES,2135,2007
VAUPES,3031,2008
VAUPES,1664,2009
VAUPES,3379,2010
VAUPES,1215,2011
VAUPES,2176,2012
VAUPES,3287,2013
VAUPES,3780,2014
VAUPES,1751,2015
VAUPES,3935,2016
VAUPES,4046,2017
VAUPES,3173,2018
VAUPES,3212,2019
VAUPES,4954,2020
VAUPES,2788,2021
VICHADA,7705,2002
VICHADA,4316,2003
VICHADA,7394,2004
VICHADA,5012,2005
VICHADA,4154,2006
VICHADA,4388,2007
VICHADA,5051,2008
VICHADA,3695,2009
VICHADA,3350,2010
VICHADA,2631,2011
VICHADA,3566,2012
VICHADA,3001,2013
VICHADA,4646,2014
VICHADA,3364,2015
VICHADA,5198,2016
VICHADA,8073,2017
VICHADA,10543,2018
VICHADA,10039,2019
VICHADA,8906,2020
VICHADA,7529,2021
